name,display_name,version,category,technical_category,author,summary,description,depends,auto_install,installable,application,path,manifest_file
l10n_be,Belgium - Accounting,2.0,Core,Accounting/Localizations/Account Charts,"Noviat, Odoo SA",,"
This is the base module to manage the accounting chart for Belgium in Odoo.
==============================================================================

After installing this module, the Configura","account, base_iban, base_vat, l10n_multilang",False,True,False,addons/l10n_be,__manifest__.py
l10n_es_edi_sii,Spain - SII EDI Suministro de Libros,1.0,Third-Party,Accounting/Localizations/EDI,Unknown,,"
        This module sends the taxes information (mostly VAT) of the 
        vendor bills and customer invoices to the SII.  It is called 
        Procedimiento G417 - IVA. Llevanza de libros registr","l10n_es, account_edi",False,True,False,addons/l10n_es_edi_sii,__manifest__.py
l10n_ae,United Arab Emirates - Accounting,15.0.1.0.0,Third-Party,Accounting/Localizations/Account Charts,Tech Receptives,,"
United Arab Emirates accounting chart and localization.
=======================================================
    ","base, account",False,True,False,addons/l10n_ae,__manifest__.py
project_mrp,MRP Project,1.0,Third-Party,Services/Project,Unknown,Monitor MRP using project,,"mrp_account, project",True,True,False,addons/project_mrp,__manifest__.py
test_discuss_full,Test Discuss (full),1.0,Third-Party,Hidden,Unknown,Test of Discuss with all possible overrides installed.,"Test of Discuss with all possible overrides installed, including feature and performance tests.","crm_livechat, hr_holidays, im_livechat, mail, mail_bot, website_livechat",False,True,False,addons/test_discuss_full,__manifest__.py
l10n_in_sale,Indian - Sale Report(GST),1.0,Third-Party,Accounting/Localizations/Sale,Unknown,,GST Sale Report,"l10n_in, sale",True,True,False,addons/l10n_in_sale,__manifest__.py
l10n_sk,Slovak - Accounting,1.0,Third-Party,Accounting/Localizations/Account Charts,26HOUSE,,"
Slovakia accounting chart and localization: Chart of Accounts 2020, basic VAT rates + 
fiscal positions.

Tento modul definuje:
• Slovenskú účtovú osnovu za rok 2020

• Základné sadzby pre DPH z pred","account, base_iban, base_vat",False,True,False,addons/l10n_sk,__manifest__.py
l10n_gr,Greece - Accounting,15.0.1.0.0,Core,Accounting/Localizations/Account Charts,"P. Christeas, OpenERP SA.",,"
This is the base module to manage the accounting chart for Greece.
==================================================================

Greek accounting chart and localization.
    ","account, base_iban, base_vat",False,True,False,addons/l10n_gr,__manifest__.py
pos_six,POS Six,1.0,Third-Party,Sales/Point Of Sale,Unknown,Integrate your POS with a Six payment terminal,,point_of_sale,False,True,False,addons/pos_six,__manifest__.py
sale_product_matrix,Sale Matrix,1.0,Third-Party,Sales/Sales,Unknown,Add variants to Sales Order through a grid entry.,"
        This module allows to fill Sales Order rapidly
        by choosing product variants quantity through a Grid Entry.
    ","sale, product_matrix, sale_product_configurator",False,True,False,addons/sale_product_matrix,__manifest__.py
website_crm_livechat,Lead Livechat Sessions,1.0,Third-Party,Website/Website,Unknown,View livechat sessions for leads, Adds a stat button on lead form view to access their livechat sessions.,"website_crm, website_livechat",True,True,False,addons/website_crm_livechat,__manifest__.py
stock_account,WMS Accounting,1.1,Third-Party,Hidden,Unknown,"Inventory, Logistic, Valuation, Accounting","
WMS Accounting module
======================
This module makes the link between the 'stock' and 'account' modules and allows you to create accounting entries to value your stock movements

Key Featur","stock, account",True,True,False,addons/stock_account,__manifest__.py
website_event_track_quiz,Quizzes on Tracks,1.0,Third-Party,Marketing/Events,Unknown,Quizzes on tracks,,"website_profile, website_event_track",False,True,False,addons/website_event_track_quiz,__manifest__.py
test_website_slides_full,Test Full eLearning Flow,1.0,Third-Party,Hidden/Tests,Unknown,,"
This module will test the main certification flow of Odoo.
It will install the e-learning, survey and e-commerce apps and make a complete
certification flow including purchase, certification, failure","website_sale_product_configurator, website_sale_slides, website_slides_forum, website_slides_survey, payment_test",False,True,False,addons/test_website_slides_full,__manifest__.py
website_form_project,Online Task Submission,1.0,Third-Party,Website/Website,Unknown,Add a task suggestion form to your website,"
Generate tasks in Project app from a form published on your website. This module requires the use of the *Form Builder* module (available in Odoo Enterprise) in order to build the form.
    ","website, project",True,True,False,addons/website_form_project,__manifest__.py
website_event_track_live,Live Event Tracks,1.0,Third-Party,Marketing/Events,Unknown,"Support live tracks: streaming, participation, youtube",,website_event_track,False,True,False,addons/website_event_track_live,__manifest__.py
pad_project,Pad on tasks,15.0.1.0.0,Third-Party,Services/Project,Unknown,,"
This module adds a PAD in all project form views.
=================================================
    ","project, pad",True,True,False,addons/pad_project,__manifest__.py
auth_totp_mail_enforce,2FA by mail,15.0.1.0.0,Third-Party,Extra Tools,Unknown,,"
2FA by mail
===============
Two-Factor authentication by sending a code to the user email inbox
when the 2FA using an authenticator app is not configured.
To enforce users to use a two-factor authent","auth_totp, mail",False,True,False,addons/auth_totp_mail_enforce,__manifest__.py
payment_mollie,Mollie Payment Acquirer,1.0,Core,Accounting/Payment Acquirers,"Odoo S.A, Applix BV, Droggol Infotech Pvt. Ltd.",Payment Acquirer: Mollie Implementation,Mollie Payment Acquirer,payment,False,True,True,addons/payment_mollie,__manifest__.py
website_crm_sms,Send SMS to Visitor with leads,1.0,Third-Party,Website/Website,Unknown,Allows to send sms to website visitor that have lead,Allows to send sms to website visitor if the visitor is linked to a lead.,"website_sms, crm",True,True,False,addons/website_crm_sms,__manifest__.py
website_partner,Website Partner,0.1,Third-Party,Hidden,Unknown,Partner module for website,"
This is a base module. It holds website-related stuff for Contact model (res.partner).
    ",website,False,True,False,addons/website_partner,__manifest__.py
website_crm_iap_reveal,Lead Generation From Website Visits,1.1,Third-Party,Sales/CRM,Unknown,Generate Leads/Opportunities from your website's traffic,,"iap_crm, iap_mail, crm_iap_mine, website",False,True,False,addons/website_crm_iap_reveal,__manifest__.py
mass_mailing_sale,Mass mailing on sale orders,1.0,Third-Party,Hidden,Unknown,Add sale order UTM info on mass mailing,UTM and mass mailing on sale orders,"sale, mass_mailing",True,True,False,addons/mass_mailing_sale,__manifest__.py
l10n_eu_oss,EU One Stop Shop (OSS),15.0.1.0.0,Third-Party,Accounting/Localizations,Unknown,,"
EU One Stop Shop (OSS) VAT
==========================

From July 1st 2021, EU businesses that are selling goods within the EU above EUR 10 000 to buyers located in another EU Member State need to reg",account,False,True,False,addons/l10n_eu_oss,__manifest__.py
mail_group,Mail Group,1.0,Third-Party,Uncategorized,Unknown,Manage your mailing lists,"
        Manage your mailing lists from Odoo.
    ","mail, portal",False,True,False,addons/mail_group,__manifest__.py
l10n_id_efaktur,Indonesia E-faktur,1.0,Third-Party,Accounting/Localizations/EDI,Unknown,,"
        E-Faktur Menu(Indonesia)
        Format : 010.000-16.00000001
        * 2 (dua) digit pertama adalah Kode Transaksi
        * 1 (satu) digit berikutnya adalah Kode Status
        * 3 (tiga) d",l10n_id,True,True,False,addons/l10n_id_efaktur,__manifest__.py
l10n_gcc_invoice_stock_account,Gulf Cooperation Council WMS Accounting,1.0,Core,Accounting/Localizations,Odoo S.A.,,"
        Arabic/English for GCC + lot/SN numbers
    ","l10n_gcc_invoice, stock_account",True,True,False,addons/l10n_gcc_invoice_stock_account,__manifest__.py
website_membership,Online Members Directory,1.0,Third-Party,Website/Website,Unknown,Publish your members directory,"
Publish your members/association directory publicly.
    ","website_partner, website_google_map, association, website_sale",False,True,False,addons/website_membership,__manifest__.py
account_test,Accounting Consistency Tests,1.0,Third-Party,Accounting/Accounting,Unknown,,"
Asserts on accounting.
======================
With this module you can manually check consistencies and inconsistencies of accounting module from menu Reporting/Accounting/Accounting Tests.

You can ",account,False,True,False,addons/account_test,__manifest__.py
base_import_module,Base import module,15.0.1.0.0,Third-Party,Hidden/Tools,Unknown,,"
Import a custom data module
===========================

This module allows authorized users to import a custom data module (.xml files and static assests)
for customization purpose.
",web,False,True,False,addons/base_import_module,__manifest__.py
microsoft_account,Microsoft Users,15.0.1.0.0,Third-Party,Hidden/Tools,Unknown,,"
The module adds Microsoft user in res user.
===========================================
",base_setup,False,True,False,addons/microsoft_account,__manifest__.py
l10n_pt,Portugal - Accounting,0.011,Third-Party,Accounting/Localizations/Account Charts,ThinkOpen Solutions,,Plano de contas SNC para Portugal,"base, account, base_vat",False,True,False,addons/l10n_pt,__manifest__.py
sales_team,Sales Teams,1.1,Third-Party,Sales/Sales,Unknown,Sales Teams,"
Using this application you can manage Sales Teams with CRM and/or Sales
=======================================================================
 ","base, mail",False,True,False,addons/sales_team,__manifest__.py
purchase_stock,Purchase Stock,1.2,Third-Party,Inventory/Purchase,Unknown,"Purchase Orders, Receipts, Vendor Bills for Stock",,"stock_account, purchase",True,True,False,addons/purchase_stock,__manifest__.py
l10n_no_edi,Norway - E-Invoicing (EHF 3),0.1,Third-Party,Accounting/Localizations/EDI,Unknown,"E-Invoicing, Universal Business Language (EHF 3)","
EHF 3 is the Norwegian implementation of EN 16931 norm.
    ","l10n_no, account_edi_ubl_bis3",True,True,False,addons/l10n_no_edi,__manifest__.py
social_media,Social Media,0.1,Core,Hidden,Odoo S.A.,Social media connectors for company settings.,"
The purpose of this technical module is to provide a front for
social media configuration for any other module that might need it.
    ",base,False,True,False,addons/social_media,__manifest__.py
project_purchase,Project Purchase,1.0,Third-Party,Services/Project,Unknown,Monitor purchase in project,,"purchase, project",True,True,False,addons/project_purchase,__manifest__.py
hr,Employees,1.1,Third-Party,Human Resources/Employees,Unknown,Centralize employee information,,"base_setup, mail, resource, web",False,True,True,addons/hr,__manifest__.py
l10n_fr,France - Accounting,2.1,Third-Party,Accounting/Localizations/Account Charts,Unknown,,"
This is the module to manage the accounting chart for France in Odoo.
========================================================================

This module applies to companies based in France mainla","account, base_iban, base_vat",False,True,False,addons/l10n_fr,__manifest__.py
l10n_pe,Peru - Accounting,2.0,Core,Accounting/Localizations/Account Charts,"Vauxoo, Odoo",PCGE Simplified,,"base_vat, base_address_extended, base_address_city, l10n_latam_base, l10n_latam_invoice_document, account_debit_note",False,True,False,addons/l10n_pe,__manifest__.py
l10n_za,South Africa - Accounting,1.0,Third-Party,Accounting/Localizations/Account Charts,Paradigm Digital,,"
This is the latest basic South African localisation necessary to run Odoo in ZA:
================================================================================
    - a generic chart of accounts
   ","account, base_vat",False,True,False,addons/l10n_za,__manifest__.py
l10n_sa_pos,Saudi Arabia - Point of Sale,15.0.1.0.0,Core,Accounting/Localizations/Point of Sale,Odoo S.A,,"
K.S.A. POS Localization
=======================================================
    ","l10n_gcc_pos, l10n_sa_invoice",True,True,False,addons/l10n_sa_pos,__manifest__.py
pos_sale,pos_sale,1.1,Third-Party,Hidden,Unknown,Link module between Point of Sale and Sales,"

This module adds a custom Sales Team for the Point of Sale. This enables you to view and manage your point of sale sales with more ease.
","point_of_sale, sale_management",True,True,False,addons/pos_sale,__manifest__.py
project_hr_expense,Project Expenses,1.0,Third-Party,Services/expenses,Unknown,Project expenses,Bridge created to add the number of expenses linked to an AA to a project form,"project, hr_expense",True,True,False,addons/project_hr_expense,__manifest__.py
hr_work_entry,Work Entries,15.0.1.0.0,Third-Party,Human Resources/Employees,Unknown,Manage work entries,,hr,False,True,False,addons/hr_work_entry,__manifest__.py
digest,KPI Digests,1.1,Third-Party,Marketing,Unknown,,"
Send KPI Digests periodically
=============================
","mail, portal, resource",False,True,False,addons/digest,__manifest__.py
sale_management,Sales,1.0,Third-Party,Sales/Sales,Unknown,From quotations to invoices,"
Manage sales quotations and orders
==================================

This application allows you to manage your sales goals in an effective and efficient manner by keeping track of all sales orders","sale, digest",False,True,True,addons/sale_management,__manifest__.py
base_geolocalize,Partners Geolocation,2.1,Third-Party,Hidden/Tools,Unknown,,"
Partners Geolocation
========================
    ",base_setup,False,True,False,addons/base_geolocalize,__manifest__.py
web_tour,Tours,0.1,Third-Party,Hidden,Unknown,,"
Odoo Web tours.
========================

",web,True,True,False,addons/web_tour,__manifest__.py
gamification_sale_crm,CRM Gamification,1.0,Third-Party,Sales/CRM,Unknown,,Example of goal definitions and challenges that can be used related to the usage of the CRM Sale module.,"gamification, sale_crm",True,True,False,addons/gamification_sale_crm,__manifest__.py
hr_timesheet,Task Logs,1.0,Third-Party,Services/Timesheets,Unknown,Track employee time on tasks,"
This module implements a timesheet system.
==========================================

Each employee can encode and track their time spent on the different projects.

Lots of reporting on time and em","hr, analytic, project, uom",False,True,False,addons/hr_timesheet,__manifest__.py
hw_escpos,ESC/POS Hardware Driver,15.0.1.0.0,Third-Party,Sales/Point of Sale,Unknown,Hardware Driver for ESC/POS Printers and Cashdrawers,"
ESC/POS Hardware Driver
=======================

This module allows Odoo to print with ESC/POS compatible printers and
to open ESC/POS controlled cashdrawers in the point of sale and other modules
th",,False,False,False,addons/hw_escpos,__manifest__.py
mrp_subcontracting_account,Subcontracting Management with Stock Valuation,0.1,Third-Party,Hidden,Unknown,,"
        This bridge module allows to manage subcontracting with valuation.
    ","mrp_subcontracting, mrp_account",True,True,False,addons/mrp_subcontracting_account,__manifest__.py
website_event_booth_sale_exhibitor,Booths Sale/Exhibitors Bridge,1.0,Third-Party,Marketing/Events,Unknown,Bridge module between website_event_booth_exhibitor and website_event_booth_sale.,"
    ","website_event_exhibitor, website_event_booth_sale",True,True,False,addons/website_event_booth_sale_exhibitor,__manifest__.py
hr_skills_slides,Skills e-learning,1.0,Third-Party,Hidden,Unknown,Add completed courses to resumé of your employees,"
E-learning and Skills for HR
============================

This module add completed courses to resumé for employees.
        ","hr_skills, website_slides",True,True,False,addons/hr_skills_slides,__manifest__.py
l10n_eg_edi_eta,Egyptian E-Invoice Integration,0.2,Third-Party,account,odoo,"
            Egyptian Tax Authority Invoice Integration
        ","
       This module integrate with the ETA Portal to automatically sign and send your invoices to the tax Authority.
       Special thanks to Plementus <info@plementus.com> for their help in developin","account_edi, l10n_eg",False,True,False,addons/l10n_eg_edi_eta,__manifest__.py
hr_gamification,HR Gamification,1.0,Third-Party,Human Resources,Unknown,,"Use the HR resources for the gamification process.

The HR officer can now manage challenges and badges.
This allow the user to send badges to employees instead of simple users.
Badge received are dis","gamification, hr",True,True,False,addons/hr_gamification,__manifest__.py
l10n_ma,Morocco - Accounting,15.0.1.0.0,Third-Party,Accounting/Localizations/Account Charts,kazacube,,"
This is the base module to manage the accounting chart for Morocco.
====================================================================

Ce Module charge le modèle du plan de comptes standard Maroca","base, account",False,True,False,addons/l10n_ma,__manifest__.py
l10n_de_skr03,Germany SKR03 - Accounting,3.0,Third-Party,Accounting/Localizations/Account Charts,openbig.org,,"
Dieses  Modul beinhaltet einen deutschen Kontenrahmen basierend auf dem SKR03.
==============================================================================

German accounting chart and localization",l10n_de,True,True,False,addons/l10n_de_skr03,__manifest__.py
pos_gift_card,Gift Card for point of sales module,1.0,Third-Party,Sales/Sales,Unknown,Use gift card in your sales orders,Integrate gift card mechanism in sales orders.,"gift_card, point_of_sale",True,True,False,addons/pos_gift_card,__manifest__.py
mrp_repair,Mrp Repairs,1.0,Third-Party,Inventory/Inventory,Unknown,,,"repair, mrp",True,True,False,addons/mrp_repair,__manifest__.py
l10n_de_stock,Germany - Stock,15.0.1.0.0,Third-Party,Accounting/Localizations,Unknown,,,"l10n_de, stock",True,True,False,addons/l10n_de_stock,__manifest__.py
event_sale,Events Sales,1.2,Third-Party,Marketing/Events,Unknown,,"
Creating registration with sales orders.
========================================

This module allows you to automate and connect your registration creation with
your main sale flow and therefore, to","event, sale_management",True,True,False,addons/event_sale,__manifest__.py
website_jitsi,Website Jitsi,1.0,Third-Party,Hidden,Unknown,Create Jitsi room on website.,Create Jitsi room on website.,website,False,True,False,addons/website_jitsi,__manifest__.py
payment_adyen,Adyen Payment Acquirer,2.0,Third-Party,Accounting/Payment Acquirers,Unknown,Payment Acquirer: Adyen Implementation,Adyen Payment Acquirer,payment,False,True,True,addons/payment_adyen,__manifest__.py
note,Notes,1.0,Third-Party,Productivity/Notes,Unknown,Organize your work with memos,,mail,False,True,True,addons/note,__manifest__.py
account_edi_ubl_bis3,Import/Export invoices with UBL (BIS3),1.0,Third-Party,Accounting/Accounting,Unknown,,"
    Support for Export/Import in UBL format (BIS3).
    ",account_edi_ubl,False,True,False,addons/account_edi_ubl_bis3,__manifest__.py
maintenance,Maintenance,1.0,Third-Party,Manufacturing/Maintenance,Unknown,Track equipment and manage maintenance requests,"
        Track equipments and maintenance requests",mail,False,True,True,addons/maintenance,__manifest__.py
mail,Discuss,1.5,Third-Party,Productivity/Discuss,Unknown,"Chat, mail gateway and private channels",,"base, base_setup, bus, web_tour",False,True,True,addons/mail,__manifest__.py
delivery_mondialrelay,delivery_mondialrelay,0.1,Third-Party,Inventory/Delivery,Unknown, Let's choose a Point Relais® as shipping address ,"
        This module allow your customer to choose a Point Relais® and use it as shipping address.
        This module doesn't implement the WebService. It is only the integration of the widget.

    ",delivery,False,True,False,addons/delivery_mondialrelay,__manifest__.py
l10n_cn,China - Accounting,1.8,Third-Party,Accounting/Localizations/Account Charts,www.openerp-china.org,,"
Includes the following data for the Chinese localization
========================================================

Account Type/科目类型

State Data/省份数据

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

   ","base, account, l10n_multilang",False,True,False,addons/l10n_cn,__manifest__.py
purchase_product_matrix,Purchase Matrix,1.0,Third-Party,Inventory/Purchase,Unknown,"
       Add variants to your purchase orders through an Order Grid Entry.
    ","
        This module allows to fill Purchase Orders rapidly
        by choosing product variants quantity through a Grid Entry.
    ","purchase, product_matrix",False,True,False,addons/purchase_product_matrix,__manifest__.py
pos_epson_printer_restaurant,pos_epson_printer_restaurant,1.0,Third-Party,Sales/Point of Sale,Unknown,Epson Printers as Order Printers,"

Use Epson Printers as Order Printers in the Point of Sale without the IoT Box
","pos_epson_printer, pos_restaurant",True,True,False,addons/pos_epson_printer_restaurant,__manifest__.py
l10n_do,Dominican Republic - Accounting,2.0,Core,Accounting/Localizations/Account Charts,Gustavo Valverde - iterativo | Consultores de Odoo,,"

Localization Module for Dominican Republic
===========================================

Catálogo de Cuentas e Impuestos para República Dominicana, Compatible para
**Internacionalización** con **NIIF","account, base_iban",False,True,False,addons/l10n_do,__manifest__.py
fetchmail_gmail,Fetchmail Gmail,1.0,Third-Party,Hidden,Unknown,,Google authentication for incoming mail server,"google_gmail, fetchmail",True,True,False,addons/fetchmail_gmail,__manifest__.py
microsoft_calendar,Outlook Calendar,1.0,Third-Party,Productivity,Unknown,,,"microsoft_account, calendar",False,True,False,addons/microsoft_calendar,__manifest__.py
l10n_fi_sale,Finland - Sale,1.0,Third-Party,Localization,Unknown,,Finland Sale,"l10n_fi, sale",True,True,False,addons/l10n_fi_sale,__manifest__.py
payment_ogone,Ogone Payment Acquirer,2.0,Third-Party,Accounting/Payment Acquirers,Unknown,Payment Acquirer: Ogone Implementation,Ogone Payment Acquirer,payment,False,True,True,addons/payment_ogone,__manifest__.py
repair,Repairs,1.0,Third-Party,Inventory/Inventory,Unknown,Repair damaged products,"
The aim is to have a complete module to manage all products repairs.
====================================================================

The following topics are covered by this module:
-----------","stock, sale_management, account",False,True,True,addons/repair,__manifest__.py
sms,SMS gateway,2.2,Third-Party,Hidden/Tools,Unknown,SMS Text Messaging,"
This module gives a framework for SMS text messaging
----------------------------------------------------

The service is provided by the In App Purchase Odoo platform.
","base, iap_mail, mail, phone_validation",True,True,False,addons/sms,__manifest__.py
account_edi_ubl,Import/Export invoices with generic UBL,1.0,Third-Party,Accounting/Accounting,Unknown,,"
    Support for Export/Import in UBL format (2.1).
    ",account_edi,False,True,False,addons/account_edi_ubl,__manifest__.py
purchase_requisition_stock,Purchase Requisition Stock,1.2,Third-Party,Inventory/Purchase,Unknown,,,"purchase_requisition, purchase_stock",True,True,False,addons/purchase_requisition_stock,__manifest__.py
product_email_template,Product Email Template,15.0.1.0.0,Third-Party,Accounting/Accounting,Unknown,,"
Add email templates to products to be sent on invoice confirmation
==================================================================

With this module, link your products to a template to send compl",account,False,True,False,addons/product_email_template,__manifest__.py
base_setup,Initial Setup Tools,1.0,Third-Party,Hidden,Unknown,,"
This module helps to configure the system at the installation of a new database.
================================================================================

Shows you a list of applications fea","base, web",False,True,False,addons/base_setup,__manifest__.py
link_tracker,Link Tracker,1.1,Third-Party,Marketing,Unknown,,"
Shorten URLs and use them to track clicks and UTMs
","utm, mail",False,True,False,addons/link_tracker,__manifest__.py
l10n_ae_pos,United Arab Emirates - Point of Sale,15.0.1.0.0,Core,Accounting/Localizations/Point of Sale,Odoo PS,,"
United Arab Emirates POS Localization
=======================================================
    ","l10n_ae, point_of_sale",True,True,False,addons/l10n_ae_pos,__manifest__.py
mrp_product_expiry,Manufacturing Expiry,1.0,Third-Party,Manufacturing/Manufacturing,Unknown,Manufacturing Expiry,"
Technical module.
    ","mrp, product_expiry",True,True,False,addons/mrp_product_expiry,__manifest__.py
hr_work_entry_contract,Work Entries - Contract,15.0.1.0.0,Third-Party,Human Resources/Employees,Unknown,Manage work entries,,"hr_work_entry, hr_contract",False,True,False,addons/hr_work_entry_contract,__manifest__.py
snailmail_account,snailmail_account,0.1,Third-Party,Hidden/Tools,Unknown,,"
Allows users to send invoices by post
=====================================================
        ","account, snailmail",True,True,False,addons/snailmail_account,__manifest__.py
iap_mail,IAP / Mail,1.0,Third-Party,Hidden/Tools,Unknown,Bridge between IAP and mail,Bridge between IAP and mail,"iap, mail",True,True,False,addons/iap_mail,__manifest__.py
pos_sale_product_configurator,pos_sale_product_configurator,1.0,Third-Party,Hidden,Unknown,Link module between point_of_sale and sale_product_configurator,"
This module adds features depending on both modules.
","point_of_sale, sale_product_configurator",True,True,False,addons/pos_sale_product_configurator,__manifest__.py
coupon,Coupon,1.0,Third-Party,Sales,Unknown,Use discount coupons in different sales channels.,Integrate coupon mechanism in orders.,account,False,True,False,addons/coupon,__manifest__.py
auth_password_policy_signup,Password Policy support for Signup,15.0.1.0.0,Third-Party,Hidden/Tools,Unknown,,,"auth_password_policy, auth_signup",True,True,False,addons/auth_password_policy_signup,__manifest__.py
l10n_no,Norway - Accounting,2.0,Third-Party,Accounting/Localizations/Account Charts,Rolv Råen,,"This is the module to manage the accounting chart for Norway in Odoo.

Updated for Odoo 9 by Bringsvor Consulting AS <www.bringsvor.com>
","account, base_iban, base_vat",False,True,False,addons/l10n_no,__manifest__.py
transifex,Transifex integration,1.0,Third-Party,Hidden/Tools,Unknown,Add a link to edit a translation in Transifex,"
Transifex integration
=====================
This module will add a link to the Transifex project in the translation view.
The purpose of this module is to speed up translations of the main modules.

",base,False,True,False,addons/transifex,__manifest__.py
